Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
EEMETRIC,2009-10-01,7-024.02,7-024,BORREGO VALLEY,BORREGO VALLEY - OCOTILLO WELLS,2.339252,405018
EEMETRIC,2009-10-01,1-039,1-039,BRANSCOMB TOWN AREA,BRANSCOMB TOWN AREA,55.295597,6201
EEMETRIC,2009-10-01,1-017,1-017,BRAY TOWN AREA,BRAY TOWN AREA,19.449799,35985
EEMETRIC,2009-10-01,6-008,6-008,BRIDGEPORT VALLEY,BRIDGEPORT VALLEY,32.130019,146102
EEMETRIC,2009-10-01,7-008,7-008,BRISTOL VALLEY,BRISTOL VALLEY,2.941251,2222170
EEMETRIC,2009-10-01,5-080,5-080,BRITE VALLEY,BRITE VALLEY,12.121876,14244
EEMETRIC,2009-10-01,6-032,6-032,BROADWELL VALLEY,BROADWELL VALLEY,4.785696,413087
EEMETRIC,2009-10-01,6-076,6-076,BROWN MOUNTAIN VALLEY,BROWN MOUNTAIN VALLEY,0.244387,97673
EEMETRIC,2009-10-01,7-054,7-054,BUCK RIDGE FAULT VALLEY,BUCK RIDGE FAULT VALLEY,22.525389,31076
EEMETRIC,2009-10-01,6-101,6-101,BULL FLAT,BULL FLAT,5.185834,78457
EEMETRIC,2009-10-01,5-048,5-048,BURNEY CREEK VALLEY,BURNEY CREEK VALLEY,42.977124,10579
EEMETRIC,2009-10-01,5-017,5-017,BURNS VALLEY,BURNS VALLEY,28.711003,12924
EEMETRIC,2009-10-01,5-051,5-051,BUTTE CREEK VALLEY,BUTTE CREEK VALLEY,26.451326,14515
EEMETRIC,2009-10-01,1-003,1-003,BUTTE VALLEY,BUTTE VALLEY,22.010522,358015
EEMETRIC,2009-10-01,6-081,6-081,BUTTE VALLEY,BUTTE VALLEY,0.839948,39581
EEMETRIC,2009-10-01,6-070,6-070,CACTUS FLAT,CACTUS FLAT,1.760738,31593
EEMETRIC,2009-10-01,7-007,7-007,CADIZ VALLEY,CADIZ VALLEY,1.754548,1184549
EEMETRIC,2009-10-01,6-090,6-090,CADY FAULT AREA,CADY FAULT AREA,2.980365,35753
EEMETRIC,2009-10-01,9-006,9-006,CAHUILLA VALLEY,CAHUILLA VALLEY,19.294021,81848
EEMETRIC,2009-10-01,6-079,6-079,CALIFORNIA VALLEY,CALIFORNIA VALLEY,2.190835,261304
EEMETRIC,2009-10-01,7-041,7-041,CALZONA VALLEY,CALZONA VALLEY,6.097589,340869
EEMETRIC,2009-10-01,6-061,6-061,CAMEO AREA,CAMEO AREA,0.792935,41842
EEMETRIC,2009-10-01,9-028,9-028,CAMPO VALLEY,CAMPO VALLEY,39.905484,15902
EEMETRIC,2009-10-01,7-046,7-046,CANEBRAKE VALLEY,CANEBRAKE VALLEY,6.525545,24310
EEMETRIC,2009-10-01,3-007,3-007,CARMEL VALLEY,CARMEL VALLEY,52.893996,18971
EEMETRIC,2009-10-01,3-018,3-018,CARPINTERIA,CARPINTERIA,63.699209,33505
EEMETRIC,2009-10-01,3-019,3-019,CARRIZO PLAIN,CARRIZO PLAIN,4.522252,946901
EEMETRIC,2009-10-01,6-006,6-006,CARSON VALLEY,CARSON VALLEY,23.501752,44241
EEMETRIC,2009-10-01,5-029,5-029,CASTAC LAKE VALLEY,CASTAC LAKE VALLEY,21.3575,16014
EEMETRIC,2009-10-01,2-008,2-008,CASTRO VALLEY,CASTRO VALLEY,42.682778,8193
EEMETRIC,2009-10-01,6-038,6-038,CAVES CANYON VALLEY,CAVES CANYON VALLEY,6.003892,328088
EEMETRIC,2009-10-01,5-045,5-045,CAYTON VALLEY,CAYTON VALLEY,59.937351,5874
EEMETRIC,2009-10-01,3-038,3-038,CAYUCOS VALLEY,CAYUCOS VALLEY,39.907271,949
EEMETRIC,2009-10-01,7-043,7-043,CHEMEHUEVI VALLEY,CHEMEHUEVI VALLEY,3.100886,1221349
EEMETRIC,2009-10-01,7-032,7-032,CHOCOLATE VALLEY,CHOCOLATE VALLEY,12.76737,580519
EEMETRIC,2009-10-01,3-005,3-005,CHOLAME VALLEY,CHOLAME VALLEY,21.602781,179070
EEMETRIC,2009-10-01,3-042,3-042,CHORRO VALLEY,CHORRO VALLEY,56.771052,6377
EEMETRIC,2009-10-01,5-061,5-061,CHROME TOWN AREA,CHROME TOWN AREA,5.979792,6334
EEMETRIC,2009-10-01,7-005,7-005,CHUCKWALLA VALLEY,CHUCKWALLA VALLEY,1.756508,2704831
EEMETRIC,2009-10-01,2-005,2-005,CLAYTON VALLEY,CLAYTON VALLEY,52.350736,80257
EEMETRIC,2009-10-01,5-066,5-066,CLEAR LAKE CACHE FORMATION,CLEAR LAKE CACHE FORMATION,41.076845,133749
EEMETRIC,2009-10-01,5-058,5-058,CLOVER VALLEY,CLOVER VALLEY,23.439253,75444
EEMETRIC,2009-10-01,7-021.03,7-021,COACHELLA VALLEY,COACHELLA VALLEY - DESERT HOT SPRINGS,13.629966,453937
EEMETRIC,2009-10-01,7-021.01,7-021,COACHELLA VALLEY,COACHELLA VALLEY - INDIO,37.720186,1335511
EEMETRIC,2009-10-01,7-021.02,7-021,COACHELLA VALLEY,COACHELLA VALLEY - MISSION CREEK,11.785764,218222
EEMETRIC,2009-10-01,7-021.04,7-021,COACHELLA VALLEY,COACHELLA VALLEY - SAN GORGONIO PASS,20.158442,173048
EEMETRIC,2009-10-01,4-011.04,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - CENTRAL,22.28879,798962
EEMETRIC,2009-10-01,4-011.02,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - HOLLYWOOD,28.421365,45279
EEMETRIC,2009-10-01,4-011.01,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - SANTA MONICA,38.432541,135809
EEMETRIC,2009-10-01,4-011.03,4-011,COASTAL PLAIN OF LOS ANGELES,COASTAL PLAIN OF LOS ANGELES - WEST COAST,18.088561,399929
EEMETRIC,2009-10-01,8-001,8-001,COASTAL PLAIN OF ORANGE COUNTY,COASTAL PLAIN OF ORANGE COUNTY,27.940606,999376
EEMETRIC,2009-10-01,9-033,9-033,COASTAL PLAIN OF SAN DIEGO,COASTAL PLAIN OF SAN DIEGO,41.162562,240198
EEMETRIC,2009-10-01,6-072,6-072,COLES FLAT,COLES FLAT,2.267517,13244
EEMETRIC,2009-10-01,5-019,5-019,COLLAYOMI VALLEY,COLLAYOMI VALLEY,27.124795,29240
EEMETRIC,2009-10-01,7-055,7-055,COLLINS VALLEY,COLLINS VALLEY,10.677207,31751
EEMETRIC,2009-10-01,4-010,4-010,CONEJO,CONEJO,35.897128,84503
EEMETRIC,2009-10-01,7-011,7-011,COPPER MOUNTAIN VALLEY,COPPER MOUNTAIN VALLEY,3.014836,136155
