Model,Date,Basin_Subb,Basin_Numb,Basin_Name,Basin_Su_1,ET,Pixel_Count
SSEBOP,2011-04-01,5-050,5-050,NORTH FORK BATTLE CREEK,NORTH FORK BATTLE CREEK,55.949779,57366
SSEBOP,2011-04-01,2-030,2-030,NOVATO VALLEY,NOVATO VALLEY,67.426964,92324
SSEBOP,2011-04-01,7-025,7-025,OCOTILLO-CLARK VALLEY,OCOTILLO-CLARK VALLEY,6.215127,999504
SSEBOP,2011-04-01,7-035,7-035,OGILBY VALLEY,OGILBY VALLEY,1.372561,592059
SSEBOP,2011-04-01,4-002,4-002,OJAI VALLEY,OJAI VALLEY,67.349443,26588
SSEBOP,2011-04-01,3-039,3-039,OLD VALLEY,OLD VALLEY,83.404521,5043
SSEBOP,2011-04-01,6-108,6-108,OLYMPIC VALLEY,OLYMPIC VALLEY,4.143989,757
SSEBOP,2011-04-01,7-031,7-031,OROCOPIA VALLEY,OROCOPIA VALLEY,5.259047,432652
SSEBOP,2011-04-01,6-012.02,6-012,OWENS VALLEY,OWENS VALLEY - FISH SLOUGH,20.822665,14498
SSEBOP,2011-04-01,6-012.01,6-012,OWENS VALLEY,OWENS VALLEY - OWENS VALLEY,21.34831,2960273
SSEBOP,2011-04-01,6-088,6-088,OWL LAKE VALLEY,OWL LAKE VALLEY,4.644944,100004
SSEBOP,2011-04-01,6-028,6-028,PAHRUMP VALLEY,PAHRUMP VALLEY,13.148509,407322
SSEBOP,2011-04-01,6-099,6-099,PAINTERS FLAT,PAINTERS FLAT,35.077935,28113
SSEBOP,2011-04-01,7-039,7-039,PALO VERDE MESA,PALO VERDE MESA,15.509145,1011292
SSEBOP,2011-04-01,7-038,7-038,PALO VERDE VALLEY,PALO VERDE VALLEY,72.680537,302116
SSEBOP,2011-04-01,9-024,9-024,PAMO VALLEY,PAMO VALLEY,84.081141,6766
SSEBOP,2011-04-01,6-058,6-058,PANAMINT VALLEY,PANAMINT VALLEY,3.741843,1165899
SSEBOP,2011-04-01,5-023,5-023,PANOCHE VALLEY,PANOCHE VALLEY,51.203707,148758
SSEBOP,2011-04-01,3-032,3-032,PEACH TREE VALLEY,PEACH TREE VALLEY,89.923203,44038
SSEBOP,2011-04-01,1-030,1-030,PEPPERWOOD TOWN AREA,PEPPERWOOD TOWN AREA,83.311945,26822
SSEBOP,2011-04-01,2-026,2-026,PESCADERO VALLEY,PESCADERO VALLEY,75.164554,12859
SSEBOP,2011-04-01,2-001,2-001,PETALUMA VALLEY,PETALUMA VALLEY,75.146314,209830
SSEBOP,2011-04-01,6-051,6-051,PILOT KNOB VALLEY,PILOT KNOB VALLEY,14.985958,623272
SSEBOP,2011-04-01,6-092,6-092,PINE CREEK VALLEY,PINE CREEK VALLEY,85.278689,183
SSEBOP,2011-04-01,7-006,7-006,PINTO VALLEY,PINTO VALLEY,4.492584,820363
SSEBOP,2011-04-01,7-049,7-049,PIPES CANYON FAULT VALLEY,PIPES CANYON FAULT VALLEY,23.071123,15213
SSEBOP,2011-04-01,2-004,2-004,PITTSBURG PLAIN,PITTSBURG PLAIN,49.299683,52085
SSEBOP,2011-04-01,7-045,7-045,PIUTE VALLEY,PIUTE VALLEY,9.765681,782230
SSEBOP,2011-04-01,7-052,7-052,PLEASANT VALLEY,PLEASANT VALLEY,22.85827,43336
SSEBOP,2011-04-01,4-006,4-006,PLEASANT VALLEY,PLEASANT VALLEY,46.516502,89204
SSEBOP,2011-04-01,5-038,5-038,PONDOSA TOWN AREA,PONDOSA TOWN AREA,43.346427,9292
SSEBOP,2011-04-01,5-068,5-068,POPE VALLEY,POPE VALLEY,79.039179,32313
SSEBOP,2011-04-01,9-029,9-029,POTRERO VALLEY,POTRERO VALLEY,76.535726,9083
SSEBOP,2011-04-01,1-051,1-051,POTTER VALLEY,POTTER VALLEY,86.183948,37054
SSEBOP,2011-04-01,9-013,9-013,POWAY VALLEY,POWAY VALLEY,35.814079,11080
SSEBOP,2011-04-01,3-044,3-044,POZO VALLEY,POZO VALLEY,74.269361,30784
SSEBOP,2011-04-01,1-025,1-025,PRAIRIE CREEK AREA,PRAIRIE CREEK AREA,81.050715,91097
SSEBOP,2011-04-01,7-040,7-040,QUIEN SABE POINT VALLEY,QUIEN SABE POINT VALLEY,7.902702,99694
SSEBOP,2011-04-01,3-024,3-024,QUIEN SABE VALLEY,QUIEN SABE VALLEY,98.441553,21173
SSEBOP,2011-04-01,6-062,6-062,RACE TRACK VALLEY,RACE TRACK VALLEY,1.329703,63448
SSEBOP,2011-04-01,3-046,3-046,RAFAEL VALLEY,RAFAEL VALLEY,66.487399,13451
SSEBOP,2011-04-01,9-025,9-025,RANCHITA TOWN AREA,RANCHITA TOWN AREA,66.689282,14032
SSEBOP,2011-04-01,4-023,4-023,RAYMOND,RAYMOND,48.52844,116263
SSEBOP,2011-04-01,6-024,6-024,RED PASS VALLEY,RED PASS VALLEY,6.43873,433105
SSEBOP,2011-04-01,1-018,1-018,RED ROCK VALLEY,RED ROCK VALLEY,27.664287,40478
SSEBOP,2011-04-01,5-006.03,5-006,REDDING AREA,REDDING AREA - ANDERSON,84.880677,443787
SSEBOP,2011-04-01,5-006.01,5-006,REDDING AREA,REDDING AREA - BOWMAN,85.029562,550983
SSEBOP,2011-04-01,5-006.04,5-006,REDDING AREA,REDDING AREA - ENTERPRISE,74.668615,275589
SSEBOP,2011-04-01,5-006.05,5-006,REDDING AREA,REDDING AREA - MILLVILLE,76.124809,295058
SSEBOP,2011-04-01,5-006.06,5-006,REDDING AREA,REDDING AREA - SOUTH BATTLE CREEK,66.071625,151596
SSEBOP,2011-04-01,1-026,1-026,REDWOOD CREEK AREA,REDWOOD CREEK AREA,73.986624,8971
SSEBOP,2011-04-01,6-086,6-086,RHODES HILL AREA,RHODES HILL AREA,11.044371,70069
SSEBOP,2011-04-01,7-004,7-004,RICE VALLEY,RICE VALLEY,1.740074,841014
SSEBOP,2011-04-01,6-023,6-023,RIGGS VALLEY,RIGGS VALLEY,3.576709,393528
SSEBOP,2011-04-01,3-043,3-043,RINCONADA VALLEY,RINCONADA VALLEY,81.058884,11582
SSEBOP,2011-04-01,5-043,5-043,ROCK PRAIRIE VALLEY,ROCK PRAIRIE VALLEY,30.466229,25732
SSEBOP,2011-04-01,6-056,6-056,ROSE VALLEY,ROSE VALLEY,16.73021,191219
SSEBOP,2011-04-01,2-028,2-028,ROSS VALLEY,ROSS VALLEY,46.765069,7930
SSEBOP,2011-04-01,5-036,5-036,ROUND VALLEY,ROUND VALLEY,35.577517,32664
SSEBOP,2011-04-01,4-020,4-020,RUSSELL VALLEY,RUSSELL VALLEY,35.838031,13836
SSEBOP,2011-04-01,5-021.54,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - ANTELOPE,79.786558,85850
SSEBOP,2011-04-01,5-021.53,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - BEND,69.31491,101956
SSEBOP,2011-04-01,5-021.70,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - BUTTE,57.338819,1198305
SSEBOP,2011-04-01,5-021.52,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - COLUSA,64.591243,3249640
SSEBOP,2011-04-01,5-021.51,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - CORNING,80.879673,932334
SSEBOP,2011-04-01,5-021.56,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - LOS MOLINOS,66.462472,447052
SSEBOP,2011-04-01,5-021.64,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - NORTH AMERICAN,58.98433,1531750
SSEBOP,2011-04-01,5-021.60,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - NORTH YUBA,65.676465,273290
SSEBOP,2011-04-01,5-021.50,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - RED BLUFF,82.264451,1222102
SSEBOP,2011-04-01,5-021.66,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOLANO,77.332143,1537271
SSEBOP,2011-04-01,5-021.65,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOUTH AMERICAN,62.281327,1077409
SSEBOP,2011-04-01,5-021.61,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SOUTH YUBA,65.081085,486403
SSEBOP,2011-04-01,5-021.62,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - SUTTER,57.82039,1285053
SSEBOP,2011-04-01,5-021.57,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - VINA,68.551601,831432
SSEBOP,2011-04-01,5-021.69,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - WYANDOTTE CREEK,67.860984,266976
SSEBOP,2011-04-01,5-021.67,5-021,SACRAMENTO VALLEY,SACRAMENTO VALLEY - YOLO,64.638048,2395752
SSEBOP,2011-04-01,3-004.01,3-004,SALINAS VALLEY,SALINAS VALLEY - 180/400 FOOT AQUIFER,49.660128,402463
SSEBOP,2011-04-01,3-004.11,3-004,SALINAS VALLEY,SALINAS VALLEY - ATASCADERO AREA,61.240251,88757
SSEBOP,2011-04-01,3-004.02,3-004,SALINAS VALLEY,SALINAS VALLEY - EAST SIDE AQUIFER,49.310808,258455
SSEBOP,2011-04-01,3-004.04,3-004,SALINAS VALLEY,SALINAS VALLEY - FOREBAY AQUIFER,58.189128,422898
SSEBOP,2011-04-01,3-004.09,3-004,SALINAS VALLEY,SALINAS VALLEY - LANGLEY AREA,79.704624,79221
SSEBOP,2011-04-01,3-004.10,3-004,SALINAS VALLEY,SALINAS VALLEY - MONTEREY,60.260049,138524
SSEBOP,2011-04-01,3-004.06,3-004,SALINAS VALLEY,SALINAS VALLEY - PASO ROBLES AREA,64.735775,1961110
